method,support_size,target_pdp,snr_db,seed_count,mean_ber,std_ber,min_ber,max_ber
algorithm1_particular_adaptation,2048,7,16.0,3,0.08234628041585283,0.0008847447022138023,0.0816965103149414,0.083597183227539
algorithm1_particular_adaptation,2048,7,18.0,3,0.07395521799723304,0.0005688938862011135,0.0733823776245117,0.0747308731079101
algorithm1_particular_adaptation,2048,7,20.0,3,0.06855519612630202,0.001045467278718082,0.0676174163818359,0.0700139999389648
algorithm1_particular_adaptation,4096,6,0.0,3,0.36128902435302734,0.00022582690992794263,0.3610267639160156,0.3615779876708984
algorithm1_particular_adaptation,4096,6,2.0,3,0.31605593363444007,0.0004187729569769227,0.3155155181884765,0.3165359497070312
algorithm1_particular_adaptation,4096,6,4.0,3,0.2688236236572265,0.0003079831614992767,0.2684488296508789,0.2692031860351562
algorithm1_particular_adaptation,4096,6,6.0,3,0.22047583262125647,0.0012639588271510431,0.219578742980957,0.2222633361816406
algorithm1_particular_adaptation,4096,6,8.0,3,0.17658837636311844,0.0007480034866527077,0.1758575439453125,0.1776161193847656
algorithm1_particular_adaptation,4096,6,10.0,3,0.13917255401611328,0.00041697057948866453,0.1388263702392578,0.1397590637207031
algorithm1_particular_adaptation,4096,6,12.0,3,0.11196676890055336,0.0003179445222402642,0.1117153167724609,0.1124153137207031
algorithm1_particular_adaptation,4096,6,14.0,3,0.09101645151774086,0.0006276144773095989,0.0905513763427734,0.0919036865234375
algorithm1_particular_adaptation,4096,6,16.0,3,0.07788244883219396,0.0003482625124235579,0.0774478912353515,0.0783004760742187
algorithm1_particular_adaptation,4096,6,18.0,3,0.06906986236572264,0.0002648892288904382,0.0687284469604492,0.0693740844726562
algorithm1_particular_adaptation,4096,6,20.0,3,0.06459395090738927,0.0005324432025583454,0.0640373229980468,0.0653114318847656
