layer_name,parameter_group,parameter_count,delta_l2,relative_delta_l2,maximum_absolute_delta,seed,target_pdp,support_size,method
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
decoder_conv_1,particular,102656,0.11936745792627335,0.010459204247068098,0.006290983408689499,2026,7,128,algorithm1_particular_adaptation
decoder_res1_input,particular,163968,0.2505391538143158,0.01880889338693524,0.004986034706234932,2026,7,128,algorithm1_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
decoder_res1_conv2,particular,82048,0.3570195138454437,0.03014449190919859,0.013953741639852524,2026,7,128,algorithm1_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,7,128,algorithm1_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
